stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
d12Markaz,,D-12 Markaz Stop,,33.702715,72.9491956,,,0,,,1
shahAllahDitta,,Shah Allah Ditta Stop,,33.7057862,72.9294483,,,0,,,1
sangjani,,Sangjani Stop,,33.6770386,72.8510981,,,0,,,1
b17Gate1,,B-17 Gate No. 1 Stop,,33.6870611,72.8402213,,,0,,,1
b17Gate2,,B-17 Gate No. 2 Stop,,33.6944953,72.8348704,,,0,,,1
taxillaBypass,,Taxilla Bypass Stop,,33.7118874,72.8130774,,,0,,,1
wahdatColony,,Wahdat Colony Stop,,33.7254514,72.8050587,,,0,,,1
timberMarket,,Timber Market Stop,,33.7307774,72.8043387,,,0,,,1
taxillaHighwayStop,,Taxilla Highway Stop,,33.7370309,72.7987338,,,0,,,1
imcgI14,,IMCG I-14 Stop,,33.6214813,72.9707333,,,0,,,1
riphahIntUniversity,,Riphah Int University Stop,,33.6170597,72.9697835,,,0,,,1
mainRoadSt32Chowk,,Main Road - St 32 Chowk Stop,,33.6113835,72.9701929,,,0,,,1
mianChowk,,Mian Chowk Stop,,33.6108418,72.965404,,,0,,,1
shaheedChowkI14,,Shaheed Chowk I-14 Stop,,33.6066196,72.9606992,,,0,,,1
ranaChowk,,Rana Chowk Stop,,33.5978319,72.9400854,,,0,,,1
phaFlatsFr11,,PHA Flats Stop,,33.5950309,72.9348328,,,0,,,1
noon,,Noon I-16 Stop,,33.5900922,72.9255156,,,0,,,1
universityOfWah,,University of Wah Stop,,33.7410247,72.7884541,,,0,,,1
wahBarrier2,,Wah Barrier 2 Stop,,33.746624,72.771194,,,0,,,1
gulshanEAnwar,,Gulshan-e-Anwar Stop,,33.7486422,72.7675681,,,0,,,1
jinnahColony,,Jinnah Colony Stop,,33.7518253,72.7619905,,,0,,,1
newCityPhase1,,New City Phase 1 Stop,,33.7543861,72.7564669,,,0,,,1
losarSharfo,,Losar Sharfo Stop,,33.7550803,72.7498353,,,0,,,1
newCityPhase2,,New City Phase 2 Stop,,33.7560626,72.7422573,,,0,,,1
bahtarMorh,,Bahtar Morh Stop,,33.760017,72.7330403,,,0,,,1
wahModelTownPhase1,,Wah Model Town Phase 1 Stop,,33.7613876,72.7300059,,,0,,,1
wahModelTownPhase2,,Wah Model Town Phase 2 Stop,,33.7671152,72.7228529,,,0,,,1
swedishCollege,,Swedish College Stop,,33.7712239,72.7210658,,,0,,,1
malakandStop,,Malakand Stop,,33.776509,72.7190458,,,0,,,1
basti,,Basti Stop,,33.7819463,72.7184492,,,0,,,1
sabriGali,,Sabri Gali Stop,,33.7886869,72.7201401,,,0,,,1
wahBarrier3,,Wah Barrier 3 Stop,,33.7921825,72.7194441,,,0,,,1
ahmadNagar,,Ahmad Nagar Stop,,33.7940141,72.7182152,,,0,,,1
shahWaliColonyRoad,,Shah Wali Colony Road Stop,,33.7972613,72.7128568,,,0,,,1
cementFactoryRoad,,Cement Factory Road Stop,,33.8060347,72.7004949,,,0,,,1
dhokDhollian,,Dhok Dhollian Stop,,33.8101077,72.6948507,,,0,,,1
wapdaColony,,WAPDA Colony Stop,,33.813454,72.6902849,,,0,,,1
hassanAbdal,,Hassan Abdal Stop,,33.8164996,72.6863771,,,0,,,1
